food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
D020,Brinjal-11,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,25.095,89.93,0.31,4.12,3.53,1.43,1.299298,0.06814,0.16159,0.1399,0.02159,0.14,1.05,1e-05,0.01592,6e-06,0.00037,0.02073,0.03328,0.26,0.00347,0.00022
D021,Brinjal-12,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,22.227,90.94,0.27,3.89,2.73,1.6,1.45408,0.06852,0.14714,0.13012,0.01714,0.13,1.22,0.0,0.01985,7e-06,0.00037,0.01926,0.03781,0.259,0.00388,0.00025
D022,Brinjal-13,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,1,vegetarian eggetarian fishetarian veg,29.636,89.14,0.31,3.92,4.51,1.49,1.411179,0.08296,0.16545,0.14951,0.01545,0.15,1.15,0.0,0.01895,5e-06,0.00032,0.018,0.02681,0.26,0.003,0.00019
D023,Brinjal-14,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,3,vegetarian eggetarian fishetarian veg,25.334,90.31,0.35,3.87,3.27,1.56,1.409616,0.05914,0.14176,0.12549,0.01676,0.125,0.88,2e-05,0.01443,5e-06,0.00032,0.01919,0.03007,0.246,0.00371,0.00019
D024,Brinjal-15,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,4,vegetarian eggetarian fishetarian veg,27.246,89.44,0.29,3.99,3.96,1.58,1.38171,0.06708,0.17466,0.1502,0.02466,0.15,0.82,2e-05,0.01782,3e-06,0.00036,0.02189,0.03032,0.215,0.00334,0.00022
D025,Brinjal-16,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,1,vegetarian eggetarian fishetarian veg,24.617,90.39,0.34,3.74,3.46,1.26,1.153656,0.08365,0.18795,0.16691,0.02195,0.166,0.99,0.0,0.01833,1e-05,0.00032,0.01706,0.02986,0.294,0.00322,0.00019
D026,Brinjal-17,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,1,vegetarian eggetarian fishetarian veg,21.749,90.83,0.36,3.94,2.89,1.18,1.073092,0.08114,0.20721,0.17831,0.02821,0.179,0.85,0.0,0.02083,4e-06,0.0005,0.02313,0.03594,0.233,0.00309,0.00025
D027,Brinjal-18,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,3,vegetarian eggetarian fishetarian veg,27.724,89.07,0.33,4.38,4.1,1.47,1.282134,0.06918,0.15371,0.13275,0.02071,0.133,1.44,2e-05,0.01624,7e-06,0.00038,0.01548,0.02803,0.208,0.00363,0.00018
D028,Brinjal-19,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,3,vegetarian eggetarian fishetarian veg,23.9,90.41,0.31,3.97,3.39,1.26,1.171926,0.05927,0.14219,0.12389,0.01819,0.124,0.96,6e-05,0.0161,3e-06,0.00032,0.01841,0.02976,0.243,0.00311,0.00019
D029,Brinjal-20,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,5,vegetarian eggetarian fishetarian veg,23.661,90.65,0.34,3.73,3.15,1.44,1.336464,0.07991,0.18728,0.16655,0.02028,0.167,0.76,9e-05,0.01436,5e-06,0.00033,0.01851,0.03121,0.239,0.00358,0.0002
