food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
A001,"Amaranth seed, black",Amaranthus cruentus,A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,356.11,9.89,5.74,7.02,59.98,14.59,13.842992,1.28,3.312,2.27991,1.033,2.279,0.88,0.0,0.181,0.001227,0.00933,0.325,0.374,0.433,0.0027,0.00266
A002,"Amaranth seed, pale brown",Amaranthus cruentus,A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,355.871,9.2,5.56,7.47,61.46,13.27,12.748489,1.14,3.309,2.26603,1.043,2.266,0.8,0.00047,0.162,9.2e-05,0.00802,0.27,0.412,0.413,0.00281,0.00252
A003,Bajra,Pennisetum typhoideum,"A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,347.984,8.97,5.43,11.49,61.78,10.96,9.697408,0.875,3.031,1.984,1.047,1.984,0.81,0.00078,0.02735,2.5e-05,0.00642,0.124,0.289,0.365,0.00411,0.00276
A004,Barley,Hordeum vulgare,A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,315.719,9.77,1.3,15.64,61.29,10.94,10.71573,0.232,0.66579,0.57532,0.09079,0.575,0.06,0.0,0.02864,2.9e-05,0.00156,0.04897,0.178,0.268,0.00756,0.0015
A005,Jowar,Sorghum vulgare,A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,334.122,9.01,1.73,10.22,67.68,9.97,9.523344,0.163,0.838,0.52454,0.314,0.524,1.27,0.00059,0.0276,1e-05,0.00395,0.133,0.274,0.328,0.00542,0.00196
A006,"Maize, dry",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,334.122,9.26,3.77,12.24,64.77,8.8,8.49728,0.413,2.312,1.60576,0.706,1.606,1.66,0.00016,0.00891,1e-05,0.00249,0.145,0.279,0.291,0.00444,0.00227
A007,"Maize, tender, local",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,119.978,68.29,1.4,3.67,22.69,3.57,3.411849,0.109,0.494,0.34746,0.147,0.347,1.47,5e-05,0.00635,4e-06,0.00071,0.04762,0.163,0.167,0.00224,0.00097
A008,"Maize, tender, sweet",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,4,vegetarian eggetarian fishetarian veg,96.795,74.4,1.35,3.3,16.42,4.16,3.85008,0.123,0.476,0.29965,0.176,0.3,4.67,2e-05,0.00637,2e-06,0.00054,0.03651,0.121,0.297,0.00223,0.00077
A009,Quinoa,Chenopodium quinoa,,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,328.386,10.43,5.5,14.66,53.65,13.11,11.401767,0.57,3.83,2.407,1.424,2.406,1.41,0.0,0.198,4e-06,0.00751,0.119,0.212,0.474,0.0045,0.00331
A010,Ragi,Eleusine coracana,A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,320.738,10.89,1.92,11.18,66.82,7.16,6.653788,0.317,1.016,0.43058,0.585,0.431,0.34,0.00069,0.364,3.2e-05,0.00462,0.146,0.21,0.443,0.00475,0.00253
A011,Rice flakes,Oryza sativa,"A. Chira, Chiura; B. Chide, Chira; E. Flattened rice, Beaten rice; G. Paunva; H. Poha; Kan. Avalakki; Kash. Chevri; Kh. Shira; Mal. Aval; M. Chengpaak; Mar. Pohe; O. Chudaa, Chuda; P. Chirwre; Tam. Aval; Tel. Atukulu, Attukulu.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,353.72,10.36,1.14,3.46,76.75,7.44,7.078416,0.284,1.002,0.57737,0.425,0.577,0.34,0.0006,0.00919,5e-05,0.00446,0.07792,0.195,0.148,0.00258,0.00149
A012,Rice puffed,Oryza sativa,A. Muri; B. Muri; G. Mamra; H. Muramure; Kan. Kalle Puri; Kash. Tomul; Kh. Muri; Mal. Pori; M. Kabok Mur; Mar. Chirmure; N. Murai; O. Mudhi; P. Phulian; Tam. Pori; Tel. Maramaralu; U. Murmure.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,361.846,9.4,1.62,2.56,77.68,7.47,6.844014,0.04684,0.08457,0.04481,0.03977,0.0448,0.64,0.00061,0.01509,2.8e-05,0.00455,0.06459,0.152,0.14,0.00369,0.00145
A013,"Rice, raw, brown",Oryza sativa,A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,353.72,9.33,1.24,4.43,74.8,9.16,9.050996,0.346,0.709,0.5061,0.203,0.506,0.69,0.00018,0.01093,5e-06,0.00102,0.09391,0.267,0.199,0.00364,0.00168
A014,"Rice, parboiled, milled",Oryza sativa,A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,351.569,10.09,0.55,3.74,77.16,7.81,7.571795,0.15,0.30266,0.21618,0.08666,0.216,0.67,6e-05,0.00811,5e-06,0.00072,0.02672,0.14,0.142,0.00316,0.00108
A015,"Rice, raw, milled",Oryza sativa,A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,356.349,9.93,0.52,2.81,78.24,7.94,7.751028,0.184,0.37,0.24351,0.117,0.253,0.69,0.0003,0.00749,5e-06,0.00065,0.0193,0.096,0.108,0.00234,0.00121
A016,Samai,Panicum miliare,B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,346.311,11.36,3.89,7.72,65.55,10.13,9.813944,0.589,2.145,1.2772,0.868,1.277,0.37,0.0,0.01606,1.6e-05,0.00126,0.09141,0.13,0.105,0.00477,0.00182
A017,Varagu,Setaria italica,A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,331.732,14.23,2.55,6.39,66.19,8.92,8.876292,0.246,0.894,0.59702,0.297,0.597,1.29,0.00083,0.01527,2.1e-05,0.00234,0.122,0.101,0.094,0.00335,0.00165
A018,"Wheat flour, refined",Triticum aestivum,A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,351.808,11.34,0.76,2.76,74.27,10.36,9.454536,0.09855,0.39364,0.34245,0.05064,0.343,1.79,0.00033,0.0204,5e-06,0.00177,0.03069,0.11,0.148,0.00154,0.00088
A019,"Wheat flour, atta",Triticum aestivum,B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,320.26,11.1,1.53,11.36,64.17,10.57,10.224361,0.206,0.891,0.74193,0.149,0.742,1.8,0.00053,0.03094,6e-06,0.0041,0.125,0.315,0.311,0.00204,0.00285
A020,"Wheat, whole",Triticum aestivum,A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,321.933,10.58,1.47,11.23,64.72,10.59,10.422678,0.191,0.795,0.65451,0.141,0.654,1.77,0.00023,0.03936,6e-06,0.00397,0.125,0.315,0.366,0.0025,0.00285
A021,"Wheat, bulgur",Triticum aestivum,"A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,341.77,8.61,1.45,8.81,69.06,10.84,10.535396,0.196,0.852,0.69969,0.152,0.7,1.2,0.00016,0.02709,7e-06,0.00386,0.116,0.245,0.33,0.00209,0.00197
A022,"Wheat, semolina",Triticum aestivum,"A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,333.644,8.94,0.74,9.72,68.43,11.38,10.882694,0.08887,0.39234,0.32521,0.06734,0.325,1.65,0.00019,0.02938,6e-06,0.00298,0.03789,0.119,0.284,0.00231,0.00213
A023,"Wheat, vermicelli",Triticum aestivum,A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,332.688,9.59,0.45,9.28,70.39,9.7,8.82797,0.06459,0.25606,0.22026,0.03606,0.22,1.68,0.00038,0.01942,6e-06,0.00202,0.03418,0.099,0.163,0.00271,0.00083
A024,"Wheat, vermicelli, roasted",Triticum aestivum,A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,340.097,7.61,0.49,9.55,71.42,10.37,9.505142,0.04995,0.19884,0.17055,0.02884,0.17,2.14,0.00016,0.02263,7e-06,0.00209,0.03903,0.107,0.177,0.00343,0.00088
B001,"Bengal gram, dal",Cicer arietinum,"A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,329.103,9.18,5.31,15.15,46.72,21.55,19.70101,0.469,3.352,2.476,0.876,2.476,1.03,0.00019,0.04632,8e-06,0.00608,0.118,0.325,0.957,0.02083,0.00365
B002,"Bengal gram, whole",Cicer arietinum,"A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,287.039,8.56,5.11,25.22,39.56,18.77,18.129943,0.453,3.227,2.337,0.89,2.337,0.99,0.00019,0.15,1.5e-05,0.00678,0.16,0.267,0.935,0.02656,0.00337
B003,"Black gram, dal",Phaseolus mungo,"A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,324.084,9.16,1.69,11.93,51.0,23.06,21.60722,0.276,0.928,0.742,0.186,0.742,0.84,0.00033,0.05567,1.1e-05,0.00467,0.173,0.375,1.157,0.01888,0.003
B004,"Black gram, whole",Phaseolus mungo,"A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum",Grain Legumes,6,vegetarian eggetarian fishetarian veg,291.341,8.7,1.58,20.41,43.99,21.97,20.829757,0.258,0.879,0.718,0.161,0.718,0.45,0.00063,0.08618,1.9e-05,0.00597,0.19,0.345,1.093,0.0268,0.00305
B005,"Cowpea, brown",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,320.26,9.42,1.15,11.54,54.62,20.36,19.415296,0.283,0.61058,0.55,0.06058,0.55,1.6,0.00061,0.08173,1e-05,0.0059,0.213,0.372,1.241,0.01368,0.00341
B006,"Cowpea, white",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,320.26,9.32,1.14,11.7,53.77,21.25,20.98225,0.285,0.62712,0.557,0.07012,0.557,1.18,0.0,0.0841,4e-06,0.00504,0.213,0.378,1.243,0.01252,0.00357
B007,"Field bean, black",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,276.045,9.57,0.92,23.4,43.46,19.93,20.10937,0.188,0.54807,0.46782,0.08007,0.468,1.15,0.0,0.07816,1e-05,0.0045,0.197,0.457,1.272,0.00135,0.00242
B008,"Field bean, brown",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,1,vegetarian eggetarian fishetarian veg,282.976,8.74,0.98,22.4,45.24,19.9,19.81045,0.198,0.587,0.45906,0.127,0.46,1.17,0.0,0.0752,1e-05,0.00499,0.173,0.429,1.245,0.00141,0.00244
B009,"Field bean, white",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,5,vegetarian eggetarian fishetarian veg,280.347,8.61,0.94,22.99,44.53,19.84,19.129728,0.186,0.56457,0.50261,0.06157,0.503,1.07,0.00024,0.07724,1.9e-05,0.0055,0.19,0.448,1.36,0.0017,0.0028
B010,"Green gram, dal",Phaseolus aureus,"A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,325.757,9.77,1.35,9.37,52.59,23.88,22.461528,0.247,0.56985,0.534,0.03585,0.534,0.95,0.00024,0.04313,2e-06,0.00393,0.155,0.416,1.268,0.01014,0.00249
B011,"Green gram, whole",Phaseolus aureus,"A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,293.731,9.95,1.14,17.04,46.13,22.53,21.678366,0.274,0.63822,0.61,0.02722,0.611,0.54,0.00039,0.09243,1.2e-05,0.00489,0.198,0.353,1.177,0.01248,0.00267
B012,"Horse gram, whole",Dolicus biflorus,"B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,329.581,9.28,0.62,7.88,57.24,21.73,20.413162,0.135,0.32689,0.25868,0.06889,0.258,0.35,0.00104,0.269,2.7e-05,0.00876,0.152,0.298,1.065,0.01214,0.00271
B013,Lentil dal,Lens culinaris,A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,322.411,9.71,0.75,10.43,52.53,24.35,22.58219,0.09102,0.448,0.33614,0.112,0.336,1.95,0.00014,0.04432,6e-06,0.00706,0.07469,0.31,0.786,0.01027,0.00361
B014,"Lentil whole, brown",Lens culinaris,A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,298.989,9.2,0.64,16.82,48.47,22.49,21.723091,0.08122,0.379,0.2764,0.102,0.277,1.63,0.00043,0.07613,2.2e-05,0.00757,0.101,0.274,0.756,0.0112,0.0036
B015,"Lentil whole, yellowish",Lens culinaris,H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw.,Grain Legumes,2,vegetarian eggetarian fishetarian veg,297.794,9.75,0.61,16.66,47.91,22.87,22.060402,0.07617,0.36618,0.27416,0.09218,0.274,1.5,0.0,0.07666,1.2e-05,0.00791,0.08638,0.261,0.764,0.01087,0.00331
B016,Moth bean,Vigna aconitifolia,"E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,308.549,8.14,1.76,15.12,52.09,19.75,18.535375,0.434,0.92025,0.849,0.07225,0.848,1.36,0.00042,0.154,3e-06,0.0079,0.205,0.362,1.356,0.02634,0.00192
B017,"Peas, dry",Pisum sativum,"A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,303.291,9.33,1.89,17.01,48.93,20.43,19.050975,0.242,1.271,0.873,0.398,0.873,2.03,0.00019,0.07511,1e-05,0.00509,0.123,0.334,0.922,0.0234,0.0031
B018,"Rajmah, black",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,2,vegetarian eggetarian fishetarian veg,298.033,8.69,1.62,17.74,49.59,19.01,17.713518,0.238,1.032,0.927,0.105,0.927,2.02,0.0,0.134,3.2e-05,0.00617,0.16,0.386,1.362,0.0094,0.00308
B019,"Rajmah, brown",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,297.555,9.68,1.68,16.95,48.83,19.5,18.4782,0.242,0.98776,0.896,0.09176,0.896,2.27,0.0002,0.134,2.5e-05,0.0063,0.164,0.396,1.366,0.01047,0.0026
B020,"Rajmah, red",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,3,vegetarian eggetarian fishetarian veg,299.228,9.87,1.77,16.57,48.61,19.91,18.400822,0.256,1.01884,0.931,0.08784,0.931,1.52,0.00016,0.126,2.9e-05,0.00613,0.173,0.409,1.324,0.01045,0.00269
B021,"Red gram, dal",Cajanus cajan,"A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal.",Grain Legumes,6,vegetarian eggetarian fishetarian veg,330.776,9.2,1.56,9.06,55.23,21.7,20.39583,0.257,0.74094,0.65144,0.08994,0.651,2.08,0.00048,0.07173,7e-06,0.0039,0.119,0.328,1.395,0.01801,0.00263
B022,"Red gram, whole",Cajanus cajan,A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.,Grain Legumes,6,vegetarian eggetarian fishetarian veg,273.894,9.3,1.38,22.84,42.48,20.47,19.376902,0.277,0.71555,0.63667,0.07855,0.637,1.3,0.0004,0.139,2.2e-05,0.00537,0.155,0.312,1.303,0.01903,0.00299
B023,Ricebean,Vigna umbellata,B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.,Grain Legumes,1,vegetarian eggetarian fishetarian veg,302.335,11.12,0.74,13.37,51.26,19.97,18.995464,0.172,0.41993,0.06293,0.357,0.06293,1.33,0.0,0.2,2e-06,0.00476,0.201,0.27,1.196,0.01062,0.00229
